fecha,grano,sector,campaña,compras_semanales,total_comprado_acumulado,precio_hecho,a_fijar,fijado,saldo_a_fijar
03/07/2019,cebada forrajera,Exportador,19/20,1700,6400,3200,3200,0,3200
03/07/2019,girasol,Industria,19/20,800,100700,71000,29700,8500,21200
03/07/2019,maíz,Exportador,19/20,158200,3900500,3358700,541800,73200,468600
03/07/2019,soja,Exportador,19/20,9700,142700,78500,64200,0,64200
03/07/2019,soja,Industria,19/20,54200,1887900,1062800,825100,13700,811400
03/07/2019,trigo,Exportador,19/20,280900,2539700,1770700,769000,59000,710000
03/07/2019,trigo,Industria,19/20,6500,32900,31900,1000,400,600
10/07/2019,cebada cervecera,Exportador,19/20,0,10800,10800,0,0,0
10/07/2019,cebada forrajera,Exportador,19/20,100,6500,3200,3300,0,3300
10/07/2019,girasol,Industria,19/20,400,101100,71400,29700,8500,21200
10/07/2019,maíz,Exportador,19/20,61700,3962200,3390200,572000,73600,498400
10/07/2019,soja,Exportador,19/20,22800,165500,95100,70400,0,70400
10/07/2019,soja,Industria,19/20,46300,1934200,1095200,839000,13700,825300
10/07/2019,trigo,Exportador,19/20,61200,2600900,1813600,787300,63200,724100
10/07/2019,trigo,Industria,19/20,3500,36400,35400,1000,400,600
17/07/2019,cebada cervecera,Exportador,19/20,0,10800,10800,0,0,0
17/07/2019,cebada forrajera,Exportador,19/20,500,7000,3600,3400,0,3400
17/07/2019,girasol,Industria,19/20,800,101900,71900,30000,9500,20500
17/07/2019,maíz,Exportador,19/20,606800,4569000,3886000,683000,88200,594800
17/07/2019,soja,Exportador,19/20,16800,182300,96900,85400,0,85400
17/07/2019,soja,Industria,19/20,42100,1976300,1100600,875700,16200,859500
17/07/2019,trigo,Exportador,19/20,252100,2853000,1876500,976500,66800,909700
17/07/2019,trigo,Industria,19/20,2800,39200,38200,1000,1000,0
24/07/2019,cebada cervecera,Exportador,19/20,100,10900,10900,0,0,0
24/07/2019,cebada forrajera,Exportador,19/20,2200,9200,5600,3600,0,3600
24/07/2019,girasol,Industria,19/20,5200,107100,74100,33000,9500,23500
24/07/2019,maíz,Exportador,19/20,216700,4785700,3934800,850900,88300,762600
24/07/2019,soja,Exportador,19/20,3500,185800,97900,87900,0,87900
24/07/2019,soja,Industria,19/20,68400,2044700,1101400,943300,16200,927100
24/07/2019,trigo,Exportador,19/20,201900,3054900,2025300,1029599.9999999999,69500,960100
24/07/2019,trigo,Industria,19/20,5000,44200,43200,1000,1000,0
31/07/2019,cebada cervecera,Exportador,19/20,1500,12400,12400,0,0,0
31/07/2019,cebada cervecera,Industria,19/20,100,28000,24900,3100,0,3100
31/07/2019,cebada forrajera,Exportador,19/20,400,9600,5800,3800,0,3800
31/07/2019,girasol,Exportador,19/20,1200,1200,1200,0,0,0
