Date,Darsenas y Bs As,Puertos de Necochea,Puertos-B.Blanca,Rosario y Zona
"nov 15, 2018",77,0,0,511
"nov 16, 2018",66,0,3,494
"nov 17, 2018",1,0,0,791
"nov 20, 2018",136,0,2,1189
"nov 21, 2018",174,0,4,1138
"nov 22, 2018",252,0,0,1380
"nov 23, 2018",273,0,17,1394
"nov 24, 2018",90,0,0,1052
"nov 26, 2018",262,0,0,1041
"nov 27, 2018",122,0,1,1180
"nov 28, 2018",210,0,3,1035
"nov 29, 2018",192,0,7,1066
"nov 30, 2018",292,9,14,1446
"dic 1, 2018",235,2,0,1740
"dic 4, 2018",453,4,3,2128
"dic 6, 2018",483,171,492,3945
"dic 7, 2018",483,0,17,2380
"dic 10, 2018",493,2,61,1479
"dic 11, 2018",374,19,61,1502
"dic 12, 2018",269,19,85,1596
"dic 13, 2018",317,13,99,1439
"dic 14, 2018",234,14,67,1021
"dic 15, 2018",54,22,12,1262
"dic 17, 2018",335,32,165,1097
"dic 18, 2018",406,11,199,1258
"dic 19, 2018",422,25,170,1482
"dic 20, 2018",430,56,153,1825
"dic 21, 2018",518,25,187,1792
"dic 22, 2018",351,9,80,1496
"dic 26, 2018",323,106,260,428
"dic 27, 2018",487,319,251,1296
"dic 28, 2018",484,296,324,1324
"dic 29, 2018",341,168,262,1004
"dic 31, 2018",21,123,95,36
"ene 3, 2019",231,110,195,1029
"ene 4, 2019",342,117,161,1412
"ene 5, 2019",314,204,268,1264
"ene 7, 2019",374,509,588,726
"ene 8, 2019",384,275,566,1253
"ene 10, 2019",416,368,617,1177
"ene 11, 2019",361,236,431,1236
"ene 12, 2019",205,72,311,928
"ene 14, 2019",352,499,492,1159
"ene 15, 2019",352,499,492,1159
"ene 16, 2019",322,420,651,1100
"ene 17, 2019",320,382,599,986
"ene 18, 2019",312,327,681,1189
"ene 19, 2019",128,185,212,689
"ene 21, 2019",298,290,471,524
"ene 22, 2019",392,329,703,1221
"ene 23, 2019",472,244,665,1256
"ene 24, 2019",470,206,586,1201
"ene 25, 2019",277,205,597,1070
"ene 26, 2019",109,68,69,643
"ene 28, 2019",195,140,259,389
"ene 29, 2019",184,254,313,921
"ene 30, 2019",235,249,389,1088
"ene 31, 2019",195,252,358,1027
"feb 1, 2019",199,252,560,903
"feb 2, 2019",42,53,107,585
"feb 4, 2019",207,85,275,494
"feb 5, 2019",326,123,253,943
"feb 6, 2019",353,135,351,962
"feb 7, 2019",371,153,413,1094
"feb 8, 2019",324,137,445,1092
"feb 9, 2019",100,11,8,693
"feb 11, 2019",176,87,264,625
"feb 12, 2019",210,140,276,753
"feb 13, 2019",269,197,337,806
"feb 14, 2019",276,260,474,1015
"feb 15, 2019",199,184,558,949
"feb 16, 2019",37,9,42,543
"feb 18, 2019",166,121,354,392
"feb 19, 2019",217,206,237,551
"feb 20, 2019",221,167,288,535
"feb 21, 2019",190,86,317,598
"feb 22, 2019",136,37,406,726
"feb 23, 2019",16,11,0,418
"feb 25, 2019",169,85,275,340
"feb 26, 2019",194,96,363,381
"feb 27, 2019",162,98,371,432
"feb 28, 2019",189,146,378,439
"mar 1, 2019",198,123,400,512
"mar 6, 2019",182,95,116,220
"mar 7, 2019",177,115,308,299
"mar 8, 2019",201,156,313,328
"mar 9, 2019",40,40,202,85
"mar 10, 2019",0,0,0,0
"mar 11, 2019",182,92,243,145
"mar 12, 2019",201,126,230,206
"mar 13, 2019",179,110,357,237
"mar 14, 2019",225,96,374,334
"mar 15, 2019",264,96,405,330
"mar 16, 2019",54,17,21,158
"mar 18, 2019",191,41,103,147
"mar 19, 2019",175,77,170,214
"mar 20, 2019",188,89,215,449
"mar 21, 2019",238,100,294,357
"mar 22, 2019",209,86,204,187
"mar 23, 2019",85,6,25,128
"mar 25, 2019",201,25,93,117
"mar 26, 2019",76,82,223,147
"mar 27, 2019",215,108,212,132
"mar 28, 2019",155,106,174,140
"mar 29, 2019",129,107,188,111
"mar 30, 2019",50,29,68,77
"abr 1, 2019",93,61,204,102
"abr 2, 2019",10,0,0,4
"abr 3, 2019",139,128,482,83
"abr 4, 2019",85,127,368,152
"abr 5, 2019",155,159,275,163
"abr 6, 2019",14,90,173,92
"abr 8, 2019",86,61,195,172
"abr 9, 2019",90,34,248,130
"abr 10, 2019",90,25,165,96
"abr 11, 2019",120,33,271,142
"abr 12, 2019",169,9,354,185
"abr 13, 2019",12,13,133,50
"abr 15, 2019",110,108,197,280
"abr 16, 2019",124,130,177,101
"abr 17, 2019",134,122,174,147
"abr 18, 2019",83,91,287,105
"abr 19, 2019",0,0,0,12
"abr 20, 2019",1,69,68,80
"abr 22, 2019",96,58,115,75
"abr 23, 2019",73,65,167,159
"abr 24, 2019",123,74,264,252
"abr 25, 2019",124,81,224,136
"abr 26, 2019",86,142,182,164
"abr 27, 2019",6,35,85,41
"abr 29, 2019",119,42,97,166
"abr 30, 2019",26,18,0,1
"may 2, 2019",148,39,136,210
"may 3, 2019",87,76,173,174
"may 4, 2019",9,21,60,158
"may 5, 2019",0,0,0,88
"may 6, 2019",115,31,118,234
"may 7, 2019",113,44,261,289
"may 8, 2019",133,82,292,274
"may 9, 2019",155,73,283,255
"may 10, 2019",120,79,194,150
"may 11, 2019",22,14,41,156
"may 13, 2019",191,8,169,160
"may 14, 2019",104,24,180,234
"may 15, 2019",129,24,355,231
"may 16, 2019",142,78,437,148
"may 17, 2019",162,44,315,179
"may 18, 2019",47,8,151,150
